round,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,time_seconds,accuracy,loss,precision,recall,f1_score
1,2.1315803165369447,0.3003844063101536,0.9055253122312375,0.4190417501155446,0.2976732726142027,0.4190417501155446,0.31964567682450534,1.9353372904108808,0.3407019912251097,0.21842352351133243,0.3407019912251097,0.20192809345613955,4.273039102554321,,,,,
2,1.6485766927393741,0.4034127253027928,0.8685401662989035,0.5409027884763519,0.6193032042839739,0.5409027884763519,0.5160102721157509,1.5750932302554368,0.43913826077174034,0.4268548093867193,0.43913826077174034,0.38224764616710605,4.132412433624268,,,,,
3,1.3051912663100453,0.5624021624600217,0.792341172430332,0.7226929594823602,0.7053635092591095,0.7226929594823602,0.70288414144186,1.3554749995091189,0.5472494093823828,0.5625479681783327,0.5472494093823828,0.5282161920684092,4.133622407913208,,,,,
4,1.081426690494164,0.6474332887785155,0.736887195815182,0.7943306116160838,0.8083958508669328,0.7943306116160838,0.7917678453563919,1.19963914804376,0.6014737315783553,0.6022761153060482,0.6014737315783553,0.5947139230365359,4.210703134536743,,,,,
5,0.9303263926936793,0.6978578130410339,0.6277770313913953,0.8182098289939916,0.8324413358961593,0.8182098289939916,0.8147915982492911,1.0986324356945767,0.6347170660366745,0.6352585190612807,0.6347170660366745,0.6253443657240424,4.196329116821289,,,,,
6,0.8211068212875675,0.7329470033471963,0.5081544394596683,0.8721306424279772,0.8746148781111857,0.8721306424279772,0.8703629440641875,1.0084133374434863,0.6613792327595905,0.6626122723221844,0.6613792327595905,0.6577070497931709,4.0938591957092285,,,,,
7,0.7270911677754464,0.7607625761868771,0.46290729856145824,0.8790633184409182,0.8821260276048555,0.8790633184409182,0.8778764134631016,0.9665812367072778,0.6731915851051862,0.6743467140419065,0.6731915851051862,0.6649031397938381,4.069959402084351,,,,,
8,0.6673180960170806,0.7792042869429562,0.4169784101402607,0.8870744107225389,0.8930273224251515,0.8870744107225389,0.8840784700857086,0.9183189562890779,0.6859601754978063,0.7005658220643023,0.6859601754978063,0.6783040990466157,4.066436290740967,,,,,
9,0.6206214830202227,0.7919167259282978,0.38802343744229617,0.9106455091665383,0.9154211177734356,0.9106455091665383,0.9116191968894289,0.8826566356040318,0.6961975475306559,0.7084225936085115,0.6961975475306559,0.6995605017943348,4.188995599746704,,,,,
10,0.5751361317063807,0.807040300391313,0.3571744920788331,0.9158835310429826,0.9190522467976047,0.9158835310429826,0.9162046356474752,0.8435328418860648,0.710822364720441,0.716530239495467,0.710822364720441,0.7107033043450804,4.1844236850738525,,,,,
11,0.5339084915656063,0.821065201446108,0.3614246542217588,0.9141888769064859,0.9186959022963628,0.9141888769064859,0.9142220763998627,0.8390176262103448,0.7162785465181685,0.7284006802178488,0.7162785465181685,0.7146158543152582,4.292308330535889,,,,,
12,0.5051896021508282,0.8289732596627486,0.3744934469879252,0.90417501155446,0.9097650987438957,0.90417501155446,0.9046936358351414,0.8282206511253419,0.7202722465969176,0.7272815340309878,0.7202722465969176,0.7139326857120752,4.265597820281982,,,,,
13,0.4805669128177402,0.8394869183827718,0.3429360738926025,0.9189647203820674,0.9211727927729579,0.9189647203820674,0.9189009157342052,0.7917832933430838,0.7302283721453482,0.7328971109660879,0.7302283721453482,0.7270961045274387,4.351168394088745,,,,,
14,0.45448989568329834,0.8469324566335175,0.33823468011693875,0.9221999691881066,0.9264359407949622,0.9221999691881066,0.9221890162113073,0.8107454385099241,0.7291596355045562,0.7512887308138745,0.7291596355045562,0.7284287388179017,4.365609407424927,,,,,
15,0.4347637987504778,0.8549380638387388,0.3350057169838654,0.9243568017254661,0.9309502539921656,0.9243568017254661,0.9260937338686716,0.758125059113002,0.7476656541793227,0.7538231633430499,0.7476656541793227,0.7483481971029928,4.339551210403442,,,,,
16,0.41144263514921403,0.8630394701079368,0.3124172254568108,0.9322138345401325,0.9346802596549383,0.9322138345401325,0.932545993283133,0.7411718055721557,0.7522780965237934,0.7508997525665934,0.7522780965237934,0.7483533658558812,4.353670358657837,,,,,
17,0.3967564968112362,0.867514753353712,0.32865464081751,0.9245108611924203,0.9289958351755778,0.9245108611924203,0.9255579454032287,0.7417340976192278,0.752390595117561,0.7527306973868466,0.752390595117561,0.7495440396474052,4.208498239517212,,,,,
