epoch,loss,train_acc,val_acc
0,0.39423130121495986,0.46412037037037035,0.7783084270528424
1,0.22483939153176766,0.7178819444444444,0.9035587736866431
2,0.14951052889227867,0.8454861111111112,0.9372977969496226
3,0.1126026054499326,0.8967013888888888,0.9326760129409952
4,0.08721491425401634,0.9328703703703703,0.9397627484208905
5,0.06818558765506302,0.9563078703703703,0.9557849329841319
6,0.049478347102801,0.9759837962962963,0.9436142350947466
7,0.036756673379352796,0.9916087962962963,0.9414574025573872
8,0.02671625465154648,0.9953703703703703,0.95717146818672
9,0.01600817918639492,0.9971064814814815,0.9574795871206285
10,0.01164090419533076,0.9994212962962963,0.9499306732398706
11,0.007669833859566737,0.9994212962962963,0.9517793868433215
12,0.005955187672818148,0.9997106481481481,0.9485441380372824
13,0.005591519888386958,1.0,0.9545524572484979
14,0.003955241594532573,0.9997106481481481,0.9510090895085503
15,0.002636625302127666,1.0,0.9510090895085503
16,0.001913192243254916,1.0,0.9531659220459098
17,0.0018770242502257504,1.0,0.953936219380681
18,0.0018504819362769249,1.0,0.9550146356493606
19,0.002166689815499854,1.0,0.9511631489755046
20,0.006971690545065535,1.0,0.9490063164381451
21,0.004522606723993603,1.0,0.953936219380681
22,0.00384803862673127,1.0,0.9500847327068248
23,0.0018964818963367078,1.0,0.95717146818672
24,0.0013025083225565377,1.0,0.953936219380681
25,0.0032423390345044296,1.0,0.952703743645047
26,0.005759650819796931,1.0,0.9454629486981975
27,0.013569459922749686,0.9997106481481481,0.9537821599137267
28,0.01818628653159572,1.0,0.9454629486981975
29,0.02177938780988808,0.9982638888888888,0.950238792173779
30,0.005057350719451076,1.0,0.9531659220459098
31,0.0027642947625955224,1.0,0.9547065167154521
32,0.0008800176637359309,1.0,0.9576336465875828
33,0.0005994080738336952,1.0,0.9582498844553998
34,0.00036617245954133706,1.0,0.9551686951163149
35,0.00026813282278857916,1.0,0.9550146356493606
36,0.00022683888097095337,1.0,0.9559389924510862
37,0.00020367899749005488,1.0,0.9557849329841319
38,0.00019294574896641144,1.0,0.9559389924510862
39,0.00018328219367605116,1.0,0.9562471113849946
40,0.0001779365548928682,1.0,0.9570174087197658
41,0.00017279402554440485,1.0,0.9564011708519489
42,0.00016937997699844546,1.0,0.9565552303189031
43,0.00016685631325580525,1.0,0.9565552303189031
44,0.00016476085740443387,1.0,0.9564011708519489
45,0.0001633108487887377,1.0,0.9567092897858573
46,0.00016201454343024157,1.0,0.9568633492528116
47,0.0001609000594018855,1.0,0.9565552303189031
48,0.00016025742391960834,1.0,0.9567092897858573
49,0.00015924189830440337,1.0,0.9564011708519489
