round,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,time_seconds,accuracy,loss,precision,recall,f1_score
1,0.17245542420720147,0.7889585203735048,0.20712228854674805,0.9351409644122631,0.9372125035547962,0.9351409644122631,0.9349915940722398,0.3136694912185469,0.7591967600404995,0.7819094705065065,0.7591967600404995,0.7558133672104316,81.24997520446777,,,,,
2,0.08798791941038826,0.9187129745602661,0.04051073773159596,0.972269295948236,0.9728806754496893,0.972269295948236,0.9722706546517479,0.11996829713245173,0.8542580717741028,0.8583893005772163,0.8542580717741028,0.8517224900706613,81.35880899429321,,,,,
3,0.04798832822073664,0.9676028008149559,0.033295837970327986,0.9744261284855954,0.975233889123001,0.9744261284855954,0.9744752514689101,0.10558994118086948,0.873382832714591,0.8770338715132172,0.873382832714591,0.8720610087615982,81.63433003425598,,,,,
4,0.028698805102396967,0.9869745868568056,0.029377119257837245,0.9755045447542752,0.9763461494006122,0.9755045447542752,0.9755938592424559,0.09693367068646046,0.8850264371695353,0.8866190097176327,0.8850264371695353,0.8834832395487273,80.78199934959412,,,,,
5,0.01968145629870962,0.9931545949728318,0.025727488082163397,0.9776613772916346,0.9783335651933263,0.9776613772916346,0.9776770754727854,0.09562050788464783,0.8864889188885139,0.8874576177371939,0.8864889188885139,0.8849954661597622,81.11758232116699,,,,,
6,0.01439312274326949,0.9963917642244624,0.025656431093823467,0.9779694962255431,0.9789294718102759,0.9779694962255431,0.9781009353296644,0.09106838763420648,0.8902013724828439,0.8897204640086658,0.8902013724828439,0.889046600090195,80.63341093063354,,,,,
7,0.011679925498393324,0.9982087107647901,0.025209467997537743,0.9784316746264058,0.979200776474191,0.9784316746264058,0.9785068802766305,0.08991158622877445,0.8923388457644279,0.8928135897174373,0.8923388457644279,0.891458591759421,81.42413067817688,,,,,
8,0.009671119624930623,0.9985925519086415,0.024827557731723404,0.9759667231551379,0.9768985803626333,0.9759667231551379,0.9760652433584207,0.08944938518085983,0.8945325683428957,0.8945975413643018,0.8945325683428957,0.8932377487006061,80.70654940605164,,,,,
9,0.007202384563771415,0.9994754153568942,0.02275167715749651,0.9793560314281312,0.980044351303315,0.9793560314281312,0.9794009319254652,0.08882670766414251,0.8966137923275959,0.8958349633693481,0.8966137923275959,0.8953493967076364,80.58370566368103,,,,,
10,0.006728529698945592,0.9995649654099575,0.02324717992205334,0.979201971961177,0.979786674256883,0.979201971961177,0.9792073583718718,0.09073046348936205,0.8959950500618742,0.8974160237884171,0.8959950500618742,0.8946969905525692,81.1577308177948,,,,,
11,0.006023626221895949,0.999603354763869,0.021836122163610014,0.9795100908950855,0.9804241171016873,0.9795100908950855,0.9796230837148374,0.0884332373128094,0.8980200247496907,0.8981213286390601,0.8980200247496907,0.8964398986983414,79.87022089958191,,,,,
12,0.005052248541771437,0.9995905572209971,0.021781577839311072,0.9788938530272685,0.9797697743823311,0.9788938530272685,0.9789875927988023,0.08695248792857177,0.900044999437507,0.9007283353003787,0.900044999437507,0.8990469359515161,81.09907007217407,,,,,
13,0.004853842700432374,0.9996801105487644,0.021449865659971742,0.9796641503620398,0.9804428322446153,0.9796641503620398,0.9797367044274239,0.08755322892857102,0.8978512768590393,0.8989364040557428,0.8978512768590393,0.896777228550109,80.52092409133911,,,,,
14,0.004048662522337661,0.9997824712435152,0.021939052732300086,0.9776613772916346,0.9784885303109662,0.9776613772916346,0.9777335382144646,0.08718464531265102,0.8976825289683878,0.8992907742332482,0.8976825289683878,0.8965074469790987,81.0669195652008,,,,,
15,0.003668134343301663,0.9998336614150022,0.021163289227593644,0.9793560314281312,0.9802042946652431,0.9793560314281312,0.9794544861908965,0.08794537662541133,0.896332545843177,0.8970674652207061,0.896332545843177,0.8955679585254742,80.84452962875366,,,,,
16,0.004097048518967707,0.9997568696083637,0.0230055736503236,0.9787397935603143,0.9798513774228179,0.9787397935603143,0.9789007539974106,0.08761018368454615,0.898188772640342,0.8986598408271796,0.898188772640342,0.8970439520099099,80.69822788238525,,,,,
17,0.0033401794998981424,0.9998464556831701,0.021052679198215418,0.9793560314281312,0.9804380950388772,0.9793560314281312,0.9795056746951999,0.08802359142159569,0.8977387782652717,0.8981407230905769,0.8977387782652717,0.896469473675421,80.83756422996521,,,,,
18,0.0034236936359741264,0.9997952818852026,0.021610755714994056,0.9801263287629025,0.9809126486824846,0.9801263287629025,0.9801939861980496,0.08702503216908343,0.896332545843177,0.8966738185725311,0.896332545843177,0.8958292095254877,79.84518218040466,,,,,
19,0.0030405749836496655,0.9998848417623776,0.021669935033889236,0.9787397935603143,0.9796428451454235,0.9787397935603143,0.9788480109338744,0.08455993401909025,0.8986387670154123,0.8988738281195724,0.8986387670154123,0.8976721671467502,80.78165435791016,,,,,
20,0.002738661207697639,0.9998336646897061,0.0213879551310933,0.97858573409336,0.9793214498742759,0.97858573409336,0.9786452193608726,0.08423169247998015,0.8992012599842502,0.8987110496905676,0.8992012599842502,0.8981827247732856,79.80310130119324,,,,,
21,0.0024503838286192357,0.9999616139207925,0.02002392897155395,0.9801263287629025,0.980730271886842,0.9801263287629025,0.9801459094432925,0.08682548880513385,0.8957700528743391,0.8956218917006443,0.8957700528743391,0.8946878436420899,80.58908414840698,,,,,
22,0.002659754610776173,0.9998720474942098,0.02016277688849121,0.9795100908950855,0.9802267293159475,0.9795100908950855,0.9795538708421254,0.08516843844192988,0.89712003599955,0.8981251140199876,0.89712003599955,0.8967262840225414,81.24161529541016,,,,,
23,0.0022046317197363594,0.9999488163779207,0.020392228910210797,0.9790479124942227,0.9796952107475025,0.9790479124942227,0.9790800464339768,0.08762942389657895,0.8948138148273147,0.8950231584506902,0.8948138148273147,0.8939010475904642,78.97985410690308,,,,,
24,0.002315591226614804,0.9997824679688112,0.0200878825802554,0.9802803882298567,0.9809986235408373,0.9802803882298567,0.98032058779134,0.08635938689338972,0.9001574980312746,0.8993763503400434,0.9001574980312746,0.8988200513668965,80.81771564483643,,,,,
25,0.002552684229158418,0.9998336614150021,0.020499904100681157,0.9790479124942227,0.9797441380692649,0.9790479124942227,0.9790976877036552,0.0871052030448383,0.8987512656091798,0.8985605114442061,0.8987512656091798,0.8975621548394382,79.21148896217346,,,,,
26,0.002001281063031996,0.9998976327558415,0.02082982962597245,0.9790479124942227,0.9799735372969531,0.9790479124942227,0.9791455400529391,0.0871072432550339,0.8999887501406233,0.9000645083660263,0.8999887501406233,0.8984823816808813,80.41446352005005,,,,,
27,0.002252117576721901,0.9997824843423307,0.01937048528139699,0.9796641503620398,0.9803742885569596,0.9796641503620398,0.9797138425575945,0.08816161442961679,0.898188772640342,0.8982560936876797,0.898188772640342,0.8971719099163368,80.86887955665588,,,,,
28,0.0018887846814736868,0.9998592434019301,0.019723949553033197,0.9801263287629025,0.9808812913008671,0.9801263287629025,0.9801819092061687,0.0883264984101114,0.8983012712341095,0.8984244093926209,0.8983012712341095,0.896809125018881,79.44846272468567,,,,,
29,0.0020482788117891465,0.9998720507689136,0.021263099116411107,0.9782776151594516,0.9792136290446307,0.9782776151594516,0.9783991879835366,0.08543169644035442,0.9019012262346721,0.9021629339588267,0.9019012262346721,0.9005369494791219,81.23729109764099,,,,,
30,0.001887030963558136,0.9998720540436176,0.02012356165799388,0.9787397935603143,0.9794618966141507,0.9787397935603143,0.9787762688772299,0.08729852099650112,0.8975700303746204,0.8983104786813743,0.8975700303746204,0.8973505444312678,79.14847660064697,,,,,
31,0.0018646557674253726,0.999923227841585,0.020151127250889495,0.9788938530272685,0.9795045170040649,0.9788938530272685,0.978913825382253,0.08828191275701358,0.8959388007649904,0.8961131328836559,0.8959388007649904,0.8950224964097581,81.04900240898132,,,,,
32,0.0016156245171885819,0.999923234390993,0.019118841458011567,0.9788938530272685,0.979639946680134,0.9788938530272685,0.9789391705483016,0.08751909536047504,0.8975700303746204,0.8976412017097335,0.8975700303746204,0.8967493738691378,80.36090874671936,,,,,
33,0.0014274052476725817,0.9999616171954964,0.02004580248730922,0.9793560314281312,0.9800765677628066,0.9793560314281312,0.9794027293372539,0.08968487075580388,0.8951513106086174,0.8951002011585665,0.8951513106086174,0.8941542623814148,77.43197178840637,,,,,
34,0.0016813526132096,0.9998464687819857,0.020087902744228493,0.9790479124942227,0.9797672314959417,0.9790479124942227,0.9790997482345143,0.08807960951662878,0.8959388007649904,0.896028765538391,0.8959388007649904,0.8954069738278547,55.692610025405884,,,,,
35,0.0017491380566834643,0.9999360253844568,0.01919856213780438,0.9790479124942227,0.9797998826017096,0.9790479124942227,0.9791078172686138,0.08608765823441585,0.8987512656091798,0.8985719246800881,0.8987512656091798,0.8977386528951058,37.758102893829346,,,,,
36,0.0016772929260457535,0.9997824908917385,0.020136084110853283,0.9782776151594516,0.9789899795596376,0.9782776151594516,0.9783153490339199,0.08798879906090913,0.8985825177185285,0.8990303174182869,0.8985825177185285,0.8976648734362647,30.19456434249878,,,,,
37,0.0015357971959235246,0.9998976393052492,0.01892168547982814,0.9784316746264058,0.979170675720399,0.9784316746264058,0.9784815540295938,0.08877026813731498,0.8962762965462931,0.8965845304623281,0.8962762965462931,0.8954698177101151,30.151171445846558,,,,,
38,0.0015647564044591778,0.9999360221097529,0.019791251634701138,0.9790479124942227,0.9797051066988615,0.9790479124942227,0.9790760569559676,0.0872789114891363,0.8975137810777365,0.897306165217821,0.8975137810777365,0.8969914376248782,30.119545459747314,,,,,
39,0.0012579943025566032,0.9999104368481211,0.01863313111687658,0.979201971961177,0.9799335843440883,0.979201971961177,0.9792485854936601,0.0859709143821334,0.9001574980312746,0.9001970574468539,0.9001574980312746,0.8993718331700241,30.17359733581543,,,,,
40,0.0014989950676486154,0.9998720507689136,0.020149254359039755,0.9788938530272685,0.9794447995911386,0.9788938530272685,0.9788940124020142,0.08851691127990172,0.8980200247496907,0.8978821140670596,0.8980200247496907,0.8969654548393617,30.22364377975464,,,,,
41,0.0013313601482718657,0.9999488229273286,0.019955935010904893,0.979201971961177,0.9798260889924965,0.979201971961177,0.979217657883709,0.08996640641310577,0.8972887838902014,0.8970131306963212,0.8972887838902014,0.8960229970699847,30.160956144332886,,,,,
42,0.0012037490212313464,0.9999616106460887,0.019805798499036176,0.979818209828994,0.9805937615990432,0.979818209828994,0.9798783871686367,0.08904597910186252,0.8966137923275959,0.8962855577182864,0.8966137923275959,0.8951819654938175,30.19751787185669,,,,,
43,0.0012966665104893684,0.9999616139207925,0.020009512069403088,0.9793560314281312,0.9801007082726785,0.9793560314281312,0.9794003296158406,0.088411941407723,0.8968387895151311,0.8968184809989681,0.8968387895151311,0.8956503405039861,30.183414936065674,,,,,
44,0.001243813706409478,0.9998976425799533,0.02092635132483719,0.9776613772916346,0.9786325323310052,0.9776613772916346,0.9777734954468648,0.08744658098850197,0.899538755765553,0.8993175791968707,0.899538755765553,0.8984979749113077,30.164891481399536,,,,,
45,0.0013848358679678535,0.9999488229273286,0.020270638252223812,0.9802803882298567,0.9811116377678302,0.9802803882298567,0.9803474957632822,0.08731431739746566,0.8982450219372258,0.8976898428711948,0.8982450219372258,0.8973921919295684,30.301631212234497,,,,,
