round,train_loss,train_accuracy,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,time_seconds,accuracy,loss,precision,recall,f1_score
1,0.09621397821059215,0.8790528335656661,0.41794009496831064,0.5513788322292404,0.3908658847007173,0.5513788322292404,0.4438486261793578,0.45367226446488934,0.48908763640454495,0.3544580249303847,0.48908763640454495,0.4005443834220839,50.61802411079407,,,,,
2,0.0484757009279009,0.9469552755037063,0.2546605232766148,0.6310275766445849,0.67211007750171,0.6310275766445849,0.5364858609792231,0.3187556631627589,0.5649679379007763,0.5405220555716571,0.5649679379007763,0.49652221593031565,50.158154249191284,,,,,
3,0.03192686382730662,0.9690035394430975,0.20230724685613777,0.7140656293329225,0.7631553672487836,0.7140656293329225,0.6724874393847892,0.2757872616946999,0.6276296546293171,0.6366650071909592,0.6276296546293171,0.5805938030176454,50.170483112335205,,,,,
4,0.02383789751849209,0.978962757624661,0.16589742199681495,0.7941765521491295,0.849708103214939,0.7941765521491295,0.7759842575227832,0.2441398002075685,0.6862414219822253,0.7312142002605236,0.6862414219822253,0.6601836415748829,50.180315017700195,,,,,
5,0.019129103176421282,0.983916964015835,0.15726584687822132,0.8117393313819135,0.8558026091716767,0.8117393313819135,0.7999723950941362,0.2286925901895514,0.7107098661266734,0.749722258805484,0.7107098661266734,0.6919164458530044,50.265902519226074,,,,,
6,0.015503722434377391,0.9880602621819878,0.14792984416655264,0.8208288399322138,0.863391651624493,0.8208288399322138,0.8132333805724364,0.21695831581817757,0.7136348295646304,0.7489281062396769,0.7136348295646304,0.6921349224260176,52.54591941833496,,,,,
7,0.013236577615768172,0.9904282892106957,0.13915504484179575,0.8346941919580958,0.8675781287595056,0.8346941919580958,0.8304354813997308,0.20502583422533693,0.7354033074586568,0.7668488130996312,0.7354033074586568,0.7189911914554017,56.8568377494812,,,,,
8,0.011554831484335212,0.9921999378130373,0.13586894535371913,0.8317670620859652,0.8668222872712017,0.8317670620859652,0.823291628779002,0.20416496455374364,0.7295533805827427,0.7689304518314245,0.7295533805827427,0.7087396419386883,63.32279586791992,,,,,
9,0.010122048020358801,0.9939132315176794,0.11408263970148654,0.8718225234940687,0.8934433207504364,0.8718225234940687,0.869500679558999,0.18440373573317706,0.7612217347283159,0.7899437700646843,0.7612217347283159,0.7464525303245312,65.04600620269775,,,,,
10,0.008649746287447743,0.994657576180905,0.11639997927135394,0.8588815282699122,0.886965274574254,0.8588815282699122,0.8553781150493739,0.1858451465061564,0.7588592642591968,0.7867873435589058,0.7588592642591968,0.7464927488220098,64.97468543052673,,,,,
11,0.00803456958322222,0.995336371712587,0.1075731838815588,0.8869203512555847,0.9053332212820792,0.8869203512555847,0.8863234309235877,0.17759308853290495,0.7835527055911801,0.8061331254937728,0.7835527055911801,0.7737340816426952,64.99770951271057,,,,,
12,0.0073891333748108065,0.9963023781236766,0.09931965095845159,0.9112617470343553,0.921917434343561,0.9112617470343553,0.9102004226786304,0.17698563372998985,0.7910901113736079,0.8079344237020818,0.7910901113736079,0.7841117487263174,57.10528540611267,,,,,
13,0.006359958701779488,0.9972652092136156,0.10374378609356097,0.89909104914497,0.9110953002720437,0.89909104914497,0.898096470452453,0.17514346135971529,0.7868714141073236,0.8073135194767973,0.7868714141073236,0.7781283655026627,41.10334491729736,,,,,
