round,train_loss,train_accuracy,global_test_accuracy,time_seconds,client_0_pers_acc,client_0_global_acc,client_1_pers_acc,client_1_global_acc,client_2_pers_acc,client_2_global_acc,client_3_pers_acc,client_3_global_acc
1,0.10073157256904215,0.8645182505754686,0.5164247946900664,98.30432152748108,0.9377431906614786,0.7328145265888456,0.7337164750957854,0.40620689655172414,0.9047619047619048,0.738095238095238,0.9168466522678186,0.7170626349892009
2,0.053757028580675596,0.935459826811356,0.6266734165822927,97.44668197631836,0.9442282749675746,0.8949416342412452,0.7988505747126436,0.0.42517241379310345,0.9682539682539683,0.7866666666666666,0.9233261339092873,0.8120950323974082
3,0.03452372381568386,0.9626657897621396,0.6944538193272584,47.11379289627075,0.9571984435797666,0.920881971465629,0.8160919540229885,0.0.4447892720306513,0.9206349206349206,0.8095238095238095,0.9524838012958964,0.896328293736501
4,0.025287312010833368,0.9745916913296065,0.7294971312858589,38.986862659454346,0.9649805447470817,0.9455252918287937,0.8199233716475096,0.479379310344827586,0.9365079365079365,0.8095238095238095,0.9751619870410367,0.9200863930885529
5,0.02042241627841479,0.9821769154883264,0.7485656429294634,38.87850379943848,0.9649805447470817,0.9520103761348897,0.8256704980842912,0.4827586206896552,0.9523809523809523,0.8412698412698413,0.9697624190064795,0.9157667386609071
6,0.015551927281796989,0.9884687054696921,0.7592530093373833,38.90339541435242,0.9675745784695201,0.9688715953307393,0.8793103448275862,0.5555555555555556,0.9523809523809523,0.7777777777777778,0.9643628509719222,0.9006479481641468
7,0.012657148754661104,0.9923051627754027,0.7576217797277534,39.08647155761719,0.9740596627756161,0.9662775616083009,0.8946360153256705,0.5421455938697318,0.9523809523809523,0.8412698412698413,0.9730021598272138,0.9298056155507559
8,0.011134366910524073,0.9934889838868793,0.7757340533243334,38.71260380744934,0.9779507133592736,0.9662775616083009,0.8850574712643678,0.60727969348659,0.9523809523809523,0.8412698412698413,0.9697624190064795,0.9308855291576674
9,0.009280939641892812,0.9947824180642332,0.7741590730115874,39.397231578826904,0.9779507133592736,0.9727626459143969,0.8888888888888888,0.632183908045977,0.9523809523809523,0.7936507936507936,0.9708423326133909,0.9222462203023758
10,0.008406344416469523,0.9956373999780773,0.7568905388682642,39.3356294631958,0.9740596627756161,0.9753566796368353,0.8793103448275862,0.5574712643678161,0.9523809523809523,0.7619047619047619,0.968682505399568,0.9244060475161987
11,0.007519710711587865,0.9961635426942892,0.7768590392620093,38.91764426231384,0.9844357976653697,0.9766536964980544,0.9003831417624522,0.6264367816091954,0.9365079365079365,0.8412698412698413,0.9762419006479481,0.9319654427645788
12,0.006915469621834396,0.9966239175709746,0.7828214647316909,38.789037227630615,0.9818417639429312,0.9740596627756161,0.9118773946360154,0.6226053639846744,0.9523809523809523,0.873015873015873,0.978401727861771,0.9503239740820735
13,0.006310515438139016,0.9969746793817824,0.789177635279559,38.88717770576477,0.980544747081712,0.9779507133592736,0.9118773946360154,0.6609195402298851,0.9523809523809523,0.8571428571428571,0.980561555075594,0.949244060475162
14,0.005863992402901309,0.9975008220979942,0.7924400944988188,38.84818434715271,0.9831387808041504,0.9779507133592736,0.9061302681992337,0.6609195402298851,0.9523809523809523,0.9365079365079365,0.9762419006479481,0.9503239740820735
15,0.005591430328347407,0.997456976871643,0.7951400607492406,39.042988777160645,0.9844357976653697,0.9779507133592736,0.9272030651340997,0.685823754789272,0.9523809523809523,0.9206349206349206,0.9838012958963283,0.9535637149028078
16,0.005297360961740646,0.9974131316452921,0.7924963437957026,38.912184715270996,0.9883268482490273,0.9766536964980544,0.9003831417624522,0.6551724137931034,0.9523809523809523,0.9206349206349206,0.9838012958963283,0.968682505399568
17,0.004906255941892437,0.9977419708429245,0.7987962650466869,39.0834379196167,0.9844357976653697,0.9753566796368353,0.9233716475095786,0.7126436781609196,0.9523809523809523,0.9523809523809523,0.9827213822894169,0.958963282937365
18,0.004872543067269347,0.997807738682451,0.7999212509843627,39.13884520530701,0.9818417639429312,0.9753566796368353,0.9176245210727969,0.7164750957854407,0.9523809523809523,0.9523809523809523,0.9816414686825053,0.9676025917926566
19,0.004291357494909626,0.9981146552669079,0.791033862076724,38.95207619667053,0.9831387808041504,0.9766536964980544,0.921455938697318,0.6590038314176245,0.9365079365079365,0.9523809523809523,0.9827213822894169,0.9654427645788337
20,0.004042381500100176,0.9983119587854873,0.7971087861401732,38.86631393432617,0.9857328145265889,0.9779507133592736,0.9195402298850575,0.6724137931034483,0.9365079365079365,0.9523809523809523,0.9794816414686826,0.9578833693304536
21,0.003965565649379158,0.9982461909459608,0.7962650466869164,39.15094590187073,0.9922178988326849,0.9831387808041504,0.9118773946360154,0.6685823754789272,0.9682539682539683,0.9523809523809523,0.9827213822894169,0.9643628509719222
22,0.0037505466292300795,0.9983996492381889,0.7954213072336596,39.36258387565613,0.9896238651102465,0.9870298313878081,0.9157088122605364,0.7279693486590039,0.9523809523809523,0.8888888888888888,0.9751619870410367,0.937365010799136
23,0.003754020378552602,0.9982900361723117,0.8040836989537631,28.713599920272827,0.9896238651102465,0.9896238651102465,0.9233716475095786,0.7413793103448276,0.9523809523809523,0.9682539682539683,0.980561555075594,0.9514038876889849
24,0.0036982693263703913,0.9983996492381889,0.7984025199685004,21.617605447769165,0.9896238651102465,0.9792477302204928,0.9176245210727969,0.6934865900383141,0.9523809523809523,0.9206349206349206,0.9848812095032398,0.9643628509719222
25,0.003656728698390801,0.9982023457196099,0.8002024974687817,38.98077058792114,0.9870298313878081,0.9857328145265889,0.9310344827586207,0.7011494252873564,0.9365079365079365,0.9682539682539683,0.978401727861771,0.9632829373650108
26,0.0035292005587040385,0.9983558040118382,0.7958713016087299,38.74919414520264,0.9896238651102465,0.9818417639429312,0.9272030651340997,0.6800766283524904,0.9365079365079365,0.9365079365079365,0.9816414686825053,0.9643628509719222
27,0.003264494673479633,0.9988381015016989,0.8050399370007875,39.18181562423706,0.9896238651102465,0.980544747081712,0.9195402298850575,0.7088122605363985,0.9365079365079365,0.9682539682539683,0.9838012958963283,0.9665226781857451
