round,train_loss,train_accuracy,global_test_accuracy,time_seconds,epsilon_i,epsilon_total,delta_total,client_0_pers_acc,client_0_global_acc,client_1_pers_acc,client_1_global_acc,client_2_pers_acc,client_2_global_acc,client_3_pers_acc,client_3_global_acc
1,0.2458340502922979,0.6777787826716107,0.5359433007087412,24.63928771018982,0.2627716005873094,2.920470589508796,4.9999999999999996e-06,0.7323943661971831,0.6028169014084507,0.6177536231884058,0.14855072463768115,0.5905292479108635,0.3203342618384401,0.7814790139906729,0.787475016655563
2,0.14119476067447917,0.8202405715836122,0.6141860726740915,24.44702458381653,0.2627716005873094,4.22268899446356,9e-06,0.8338028169014085,0.8760563380281691,0.7989130434782609,0.3605072463768116,0.7994428969359332,0.8022284122562674,0.8461025982678214,0.7455029980013325
3,0.1096058074622454,0.8690060595098127,0.6380357745528181,24.43898296356201,0.2627716005873094,5.25866500151769,1.3000000000000001e-05,0.847887323943662,0.8169014084507042,0.8605072463768116,0.3496376811594203,0.8356545961002786,0.520891364902507,0.8754163890739507,0.854763491005996
4,0.09403169667736563,0.8933888034729132,0.7091911351108111,24.446800231933594,0.2627716005873094,6.156823802190923,1.7e-05,0.8845070422535212,0.9295774647887324,0.8731884057971014,0.4692028985507246,0.8495821727019499,0.7827298050139275,0.9020652898067955,0.8654230512991339
5,0.0841230365250351,0.9096138192999909,0.7074474069074137,24.441508054733276,0.2627716005873094,6.966909813200619,2.1e-05,0.9183098591549296,0.9098591549295775,0.8822463768115942,0.483695652173913,0.8523676880222841,0.7353760445682451,0.9127248500999334,0.8860759493670886
6,0.0762076748253206,0.922655331464231,0.745471931600855,24.447338819503784,0.2627716005873094,7.71443499992847,2.5e-05,0.9352112676056338,0.9408450704225352,0.8876811594202898,0.532608695652174,0.8607242339832869,0.8189415041782729,0.927381745502998,0.9000666222518321
7,0.07170872249728713,0.9294383648367551,0.7429969625379683,24.42373752593994,0.2627716005873094,8.41455464002345,2.9e-05,0.9408450704225352,0.9380281690140845,0.894927536231884,0.5597826086956522,0.8690807799442897,0.807799442896936,0.9360426382411725,0.9060626249167222
8,0.06747816480966408,0.9354074342045762,0.748678141523231,24.439321041107178,0.2627716005873094,9.077143235273782,3.2999999999999996e-05,0.9352112676056338,0.9380281690140845,0.8967391304347826,0.5471014492753623,0.8690807799442897,0.8022284122562674,0.9413724183877415,0.9140572951365756
9,0.06484701723787531,0.9396581351180248,0.7405219934750815,24.43606400489807,0.2627716005873094,9.709059638046378,3.7e-05,0.9408450704225352,0.9154929577464789,0.9057971014492754,0.5561594202898551,0.8802228412256268,0.7576601671309192,0.944037308461026,0.9340439706862091
10,0.06214267189959899,0.9445780953242291,0.7623467206659916,24.426784992218018,0.2627716005873094,10.315297737000892,4.0999999999999994e-05,0.9436619718309859,0.9380281690140845,0.9039855072463768,0.5760869565217391,0.8802228412256268,0.83008356545961,0.9513657561625583,0.9307128580946036
11,0.05974597754067255,0.948032920321968,0.7644279446506919,24.432170867919922,0.2627716005873094,10.899627514692458,4.4999999999999996e-05,0.952112676056338,0.9380281690140845,0.8894927536231884,0.5797101449275363,0.8941504178272981,0.8105849582172702,0.9566955363091273,0.9380413057961359
12,0.05809131103532487,0.9509451026499051,0.7684778940263247,24.436222791671753,0.2627716005873094,11.46497787255537,4.9e-05,0.9492957746478873,0.9352112676056338,0.9057971014492754,0.5942028985507246,0.9025069637883009,0.8161559888579387,0.9620253164556962,0.9433710859427049
13,0.05585506160942231,0.9552500678303338,0.7675779052761841,24.43091654777527,0.2627716005873094,12.0136780121454,5.2999999999999994e-05,0.9577464788732394,0.9323943661971831,0.9057971014492754,0.5778985507246377,0.8997214484679665,0.8217270194986073,0.9586942038640907,0.9480346435709527
14,0.05415620669893374,0.9571312290856471,0.7632467094161323,24.496644973754883,0.2627716005873094,12.547616441129936,5.6999999999999996e-05,0.9605633802816902,0.9267605633802817,0.9039855072463768,0.5942028985507246,0.9025069637883009,0.7966573816155988,0.9613590939373751,0.9533644237175216
15,0.05315804972781743,0.9589038618070002,0.7724153448081899,24.431291580200195,0.2627716005873094,13.06834956060279,6.099999999999999e-05,0.9605633802816902,0.9380281690140845,0.9148550724637681,0.6304347826086957,0.9108635097493036,0.8272980501392758,0.9673550966022652,0.9580279813457695
16,0.05219434074920381,0.9606584064393597,0.7769715378557768,24.412354469299316,0.2627716005873094,13.577178097075166,6.5e-05,0.9605633802816902,0.9380281690140845,0.927536231884058,0.6286231884057971,0.9080779944289693,0.8217270194986073,0.9686875416389074,0.9600266489007329
