round,train_loss,train_accuracy,global_test_accuracy,time_seconds,epsilon_i,epsilon_total,delta_total,client_0_pers_acc,client_0_global_acc,client_1_pers_acc,client_1_global_acc,client_2_pers_acc,client_2_global_acc,client_3_pers_acc,client_3_global_acc
11,0.06888399668859295,0.9365650719001538,0.7458656766790415,24.507225513458252,0.20937715705259322,8.37337752972504,4.4999999999999996e-05,0.9436619718309859,0.923943661971831,0.8931159420289855,0.5688405797101449,0.871866295264624,0.7827298050139275,0.9513657561625583,0.9327115256495669
12,0.06690428225153246,0.9399837207199059,0.7619529755878052,24.529322624206543,0.20937715705259322,8.795534244208042,4.9e-05,0.9436619718309859,0.9436619718309859,0.9130434782608695,0.6014492753623188,0.8857938718662952,0.8328690807799443,0.9526982011992006,0.9307128580946036
13,0.06463985216156211,0.9444876548792621,0.7554843064461694,24.514892578125,0.20937715705259322,9.204424017520502,5.2999999999999994e-05,0.9492957746478873,0.9380281690140845,0.9039855072463768,0.5742753623188406,0.883008356545961,0.8189415041782729,0.9566955363091273,0.9367088607594937
14,0.06295639892669957,0.9474360133851858,0.7538530768365396,24.574010610580444,0.20937715705259322,9.601551617931083,5.6999999999999996e-05,0.9577464788732394,0.9211267605633803,0.9130434782608695,0.5851449275362319,0.8913649025069638,0.7883008356545961,0.9573617588274483,0.9453697534976683
15,0.06220266760228457,0.9486479153477436,0.7607154910563618,24.506073713302612,0.20937715705259322,9.988157190248156,6.099999999999999e-05,0.9492957746478873,0.9323943661971831,0.9148550724637681,0.6159420289855072,0.8941504178272981,0.8105849582172702,0.9626915389740173,0.9473684210526315
16,0.06106590788368063,0.9499321696662747,0.7636967037912026,24.508726835250854,0.20937715705259322,10.365277157047109,6.5e-05,0.9549295774647887,0.9295774647887324,0.9184782608695652,0.6123188405797102,0.8969359331476323,0.8050139275766016,0.9620253164556962,0.9506995336442372
17,0.06000884514542236,0.9517590666546079,0.7702778715266059,24.50492286682129,0.20937715705259322,10.73378820316855,6.9e-05,0.9492957746478873,0.9492957746478873,0.9184782608695652,0.6141304347826086,0.8997214484679665,0.841225626740947,0.9620253164556962,0.9433710859427049
18,0.0590110167304061,0.9542913991136835,0.7622342220722241,24.514017820358276,0.20937715705259322,11.094439755092019,7.3e-05,0.9605633802816902,0.9323943661971831,0.9166666666666666,0.6105072463768116,0.8997214484679665,0.8217270194986073,0.9626915389740173,0.9573617588274483
19,0.05812842170359594,0.9549425703174459,0.7734278321520981,24.501163005828857,0.20937715705259322,11.447878432612718,7.699999999999999e-05,0.9605633802816902,0.9408450704225352,0.9257246376811594,0.6304347826086957,0.8969359331476323,0.8467966573816156,0.9646902065289806,0.9533644237175216
20,0.056627790643121415,0.9574929908655151,0.7757340533243334,24.505391597747803,0.20937715705259322,11.794666772404808,8.099999999999999e-05,0.9605633802816902,0.9464788732394366,0.927536231884058,0.6123188405797102,0.8997214484679665,0.8579387186629527,0.9633577614923384,0.9573617588274483
21,0.056256483019980444,0.9573663742425611,0.775340308246147,24.497358560562134,0.20937715705259322,12.135297782870015,8.499999999999999e-05,0.9605633802816902,0.9464788732394366,0.9239130434782609,0.625,0.8969359331476323,0.8495821727019499,0.966688874083944,0.9546968687541639
22,0.055716221088214536,0.9574206385095415,0.780402744965688,24.514381408691406,0.20937715705259322,12.470206411489656,8.9e-05,0.9605633802816902,0.9464788732394366,0.9347826086956522,0.6394927536231884,0.8969359331476323,0.8746518105849582,0.966688874083944,0.9533644237175216
23,0.05488324940138585,0.9593379759428416,0.7687028912138598,24.49741792678833,0.20937715705259322,12.799778689326153,9.3e-05,0.9633802816901409,0.9323943661971831,0.9365942028985508,0.6231884057971014,0.8969359331476323,0.8217270194986073,0.9686875416389074,0.9613590939373751
24,0.05456409382963118,0.9603328208374785,0.7791652604342446,24.523857831954956,0.20937715705259322,13.12435910311133,9.7e-05,0.9605633802816902,0.9436619718309859,0.9365942028985508,0.5978260869565217,0.8969359331476323,0.8551532033426184,0.9673550966022652,0.9633577614923384
25,0.053372455786543364,0.9617979560459436,0.7815277309033637,24.513184070587158,0.20937715705259322,13.444256597544172,0.00010099999999999999,0.9605633802816902,0.9436619718309859,0.9384057971014492,0.6304347826086957,0.9108635097493036,0.8551532033426184,0.9686875416389074,0.9593604263824117
26,0.05322524074765229,0.9619969250248711,0.7780402744965688,24.507440328598022,0.20937715705259322,13.75974950659841,0.00010499999999999999,0.9605633802816902,0.9408450704225352,0.9347826086956522,0.6286231884057971,0.9080779944289693,0.8495821727019499,0.9700199866755497,0.9586942038640907
27,0.052840369604487514,0.9621416297368183,0.785690178872764,24.4988956451416,0.20937715705259322,14.071089638535588,0.00010899999999999999,0.9577464788732394,0.9436619718309859,0.9347826086956522,0.6557971014492754,0.9052924791086351,0.8635097493036211,0.9706862091938707,0.9620253164556962
28,0.05260439191048614,0.9623225106267522,0.7925525930925863,24.517124891281128,0.20937715705259322,14.378505685644681,0.000113,0.9577464788732394,0.9492957746478873,0.9438405797101449,0.677536231884058,0.9080779944289693,0.883008356545961,0.9686875416389074,0.9573617588274483
29,0.05176388388898022,0.9639504386361579,0.7859151760602993,24.525206327438354,0.20937715705259322,14.682206090326659,0.000117,0.9577464788732394,0.9408450704225352,0.9420289855072463,0.6648550724637681,0.9025069637883009,0.8551532033426184,0.972018654230513,0.9626915389740173
30,0.05128481205964866,0.9658315998914715,0.7849589380132749,24.5074725151062,0.20937715705259322,14.982381469857444,0.00012099999999999999,0.9577464788732394,0.9436619718309859,0.9492753623188406,0.6702898550724637,0.9080779944289693,0.8551532033426184,0.9706862091938707,0.9600266489007329
